timestamp,header,name,position,velocity,effort
1769100596538160058,"{'stamp': {'sec': 1769100596, 'nanosec': 527971870}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100596587252388,"{'stamp': {'sec': 1769100596, 'nanosec': 577770913}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100596647758231,"{'stamp': {'sec': 1769100596, 'nanosec': 627678438}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100596689625526,"{'stamp': {'sec': 1769100596, 'nanosec': 681916062}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100596737994974,"{'stamp': {'sec': 1769100596, 'nanosec': 727716712}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100596795736337,"{'stamp': {'sec': 1769100596, 'nanosec': 777618385}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100596841309994,"{'stamp': {'sec': 1769100596, 'nanosec': 827946079}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100596884260426,"{'stamp': {'sec': 1769100596, 'nanosec': 877777474}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100596946755038,"{'stamp': {'sec': 1769100596, 'nanosec': 927885370}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100596986947190,"{'stamp': {'sec': 1769100596, 'nanosec': 977727080}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100597048689868,"{'stamp': {'sec': 1769100597, 'nanosec': 27956663}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100597093038554,"{'stamp': {'sec': 1769100597, 'nanosec': 83973222}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100597138184706,"{'stamp': {'sec': 1769100597, 'nanosec': 127689249}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100597196214792,"{'stamp': {'sec': 1769100597, 'nanosec': 177696941}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100597237453153,"{'stamp': {'sec': 1769100597, 'nanosec': 227925709}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100597287713229,"{'stamp': {'sec': 1769100597, 'nanosec': 278327996}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100597342135338,"{'stamp': {'sec': 1769100597, 'nanosec': 327992149}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
1769100597390066739,"{'stamp': {'sec': 1769100597, 'nanosec': 379912129}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[3421.2807757680002, 3361.217749713]","[0.0, 0.0]",[]
