timestamp,header,name,position,velocity,effort
1769099703959140385,"{'stamp': {'sec': 1769099703, 'nanosec': 912548436}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[1699.276656636, 1666.570647735]","[0.0, 0.0]",[]
1769099703986289208,"{'stamp': {'sec': 1769099703, 'nanosec': 962534730}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[1699.276656636, 1666.570647735]","[0.0, 0.0]",[]
1769099704052878991,"{'stamp': {'sec': 1769099704, 'nanosec': 12525413}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[1699.276656636, 1666.570647735]","[0.0, 0.0]",[]
1769099704088676825,"{'stamp': {'sec': 1769099704, 'nanosec': 62504521}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[1699.276656636, 1666.570647735]","[0.0, 0.0]",[]
1769099704147692967,"{'stamp': {'sec': 1769099704, 'nanosec': 112523407}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[1699.276656636, 1666.572181716]","[0.0, 0.0]",[]
1769099704188720894,"{'stamp': {'sec': 1769099704, 'nanosec': 162509219}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[1699.276656636, 1666.570647735]","[0.0, 0.0]",[]
1769099704238603009,"{'stamp': {'sec': 1769099704, 'nanosec': 212523439}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[1699.276656636, 1666.570647735]","[0.0, 0.0]",[]
1769099704286960853,"{'stamp': {'sec': 1769099704, 'nanosec': 262516121}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[1699.276656636, 1666.572181716]","[0.0, 0.0]",[]
1769099704340920680,"{'stamp': {'sec': 1769099704, 'nanosec': 312540897}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[1699.276656636, 1666.570647735]","[0.0, 0.0]",[]
1769099704386990344,"{'stamp': {'sec': 1769099704, 'nanosec': 362516616}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[1699.276656636, 1666.570647735]","[0.0, 0.0]",[]
1769099704454126822,"{'stamp': {'sec': 1769099704, 'nanosec': 412552984}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[1699.276656636, 1666.570647735]","[0.0, 0.0]",[]
