timestamp,header,name,position,velocity,effort
1769097853143788217,"{'stamp': {'sec': 1769097853, 'nanosec': 193095911}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097853192825334,"{'stamp': {'sec': 1769097853, 'nanosec': 243056794}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097853242034466,"{'stamp': {'sec': 1769097853, 'nanosec': 293062289}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097853294050961,"{'stamp': {'sec': 1769097853, 'nanosec': 343059654}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097853343274470,"{'stamp': {'sec': 1769097853, 'nanosec': 393059148}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097853388988120,"{'stamp': {'sec': 1769097853, 'nanosec': 443060457}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097853447296989,"{'stamp': {'sec': 1769097853, 'nanosec': 493060452}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097853489861291,"{'stamp': {'sec': 1769097853, 'nanosec': 543060317}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097853545479829,"{'stamp': {'sec': 1769097853, 'nanosec': 593060830}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097853598684688,"{'stamp': {'sec': 1769097853, 'nanosec': 643060268}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097853644008943,"{'stamp': {'sec': 1769097853, 'nanosec': 693073096}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097853691114272,"{'stamp': {'sec': 1769097853, 'nanosec': 743060146}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097853748487263,"{'stamp': {'sec': 1769097853, 'nanosec': 793060974}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097853795424504,"{'stamp': {'sec': 1769097853, 'nanosec': 843498528}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097853844452354,"{'stamp': {'sec': 1769097853, 'nanosec': 893062945}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097853896953174,"{'stamp': {'sec': 1769097853, 'nanosec': 943062643}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097853942340117,"{'stamp': {'sec': 1769097853, 'nanosec': 993065304}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097853992382342,"{'stamp': {'sec': 1769097854, 'nanosec': 43063292}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097854049133630,"{'stamp': {'sec': 1769097854, 'nanosec': 93061354}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097854095845496,"{'stamp': {'sec': 1769097854, 'nanosec': 144524834}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097854139896637,"{'stamp': {'sec': 1769097854, 'nanosec': 193080680}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097854200408598,"{'stamp': {'sec': 1769097854, 'nanosec': 243064871}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097854243228183,"{'stamp': {'sec': 1769097854, 'nanosec': 293075784}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097854289905183,"{'stamp': {'sec': 1769097854, 'nanosec': 343067364}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097854350650786,"{'stamp': {'sec': 1769097854, 'nanosec': 393068369}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097854394203705,"{'stamp': {'sec': 1769097854, 'nanosec': 443519082}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097854443912913,"{'stamp': {'sec': 1769097854, 'nanosec': 493070158}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097854496249603,"{'stamp': {'sec': 1769097854, 'nanosec': 543068034}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097854544471801,"{'stamp': {'sec': 1769097854, 'nanosec': 593070910}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097854592517727,"{'stamp': {'sec': 1769097854, 'nanosec': 643068749}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097854649783207,"{'stamp': {'sec': 1769097854, 'nanosec': 693082866}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
1769097854688885340,"{'stamp': {'sec': 1769097854, 'nanosec': 743068057}, 'frame_id': 'base_link'}","['wheel_left_joint', 'wheel_right_joint']","[6.154331772, 0.694893393]","[0.0, 0.0]",[]
