timestamp,x,y,yaw
303.9530966281891,-1.049031635106234,-13.525454266865713,114.39126242467084
304.0031056404114,-1.0517322039933164,-13.519480903638545,114.26437031728095
304.0530982017517,-1.0557184483876483,-13.510588928061111,114.02871354641093
304.1030955314636,-1.058315653651752,-13.504763368312524,114.02871354641093
304.15307092666626,-1.0609540843962435,-13.498845339361566,114.02871354641093
304.20307898521423,-1.0647189082017807,-13.490436590574932,114.20998798554088
304.25307416915894,-1.0673835254079354,-13.484530307802428,114.35500753684052
304.3030641078949,-1.0698389920863225,-13.479112788122043,114.40938986858598
304.353084564209,-1.073804613101778,-13.47037810408212,114.42751731249574
304.4031021595001,-1.0764632376278238,-13.46452467298411,114.42751731249574
304.4530930519104,-1.0790572516434203,-13.45880869101787,114.39126242467084
304.5030870437622,-1.083065386956752,-13.44995433042649,114.31875264902101
304.55309224128723,-1.0857413513793948,-13.444025398118177,114.26437031728095
304.6030902862549,-1.088287002208439,-13.438370884363028,114.20998798554089
304.6530900001526,-1.092334990724906,-13.429367899223475,114.20998798554089
304.7030761241913,-1.095001572807994,-13.423434740981401,114.19186054162576
304.75309467315674,-1.0977077516084097,-13.417408381371816,114.173733097716
304.80307483673096,-1.1014869208937945,-13.408978320978024,114.11935076597592
304.8531069755554,-1.1041234353304226,-13.40308715705476,114.10122332206613
304.90309739112854,-1.1066848554864288,-13.39735649519631,114.06496843424124
304.95309114456177,-1.1105297049666467,-13.388761718855925,114.13747820989106
305.00309348106384,-1.1131209169175065,-13.382988934131399,114.20998798554089
305.0531210899353,-1.1157325748726503,-13.377197594866704,114.33688009293076
305.10307717323303,-1.119695431385703,-13.3684616583555,114.46377220032066
305.15310740470886,-1.1223614613208386,-13.362611596914935,114.53628197597048
305.2030749320984,-1.125084689723985,-13.356648528507767,114.55440941988562
305.25307154655457,-1.1290760072543904,-13.34789773043422,114.4818996442358
305.30308532714844,-1.131755565429495,-13.341998210213358,114.3731349807557
305.35308814048767,-1.135648404044603,-13.333369501521,114.19186054162576
305.40306425094604,-1.1382999347012674,-13.32745733076643,114.11935076597592
305.4530770778656,-1.14097591289914,-13.32147290969326,114.06496843424124
305.5030994415283,-1.1436237017768425,-13.315559062814184,114.173733097716
305.55308985710144,-1.1475498967682796,-13.306834335659133,114.28249776119071
305.60308480262756,-1.150174719309355,-13.301021167259819,114.31875264901565
305.65309143066406,-1.153950580991362,-13.292672892287772,114.35500753684593
305.7030713558197,-1.156601795672416,-13.286816101297426,114.35500753684593
305.7530908584595,-1.1591885738413075,-13.281096841095577,114.31875264902101
305.80307698249817,-1.163006157751846,-13.272656319991242,114.35500753684055
305.85309886932373,-1.1655208012238092,-13.267098888177777,114.33688009293076
305.9030714035034,-1.16823464297804,-13.261103747893973,114.37313498076105
305.9530973434448,-1.1722393245023457,-13.252275610052319,114.42751731249574
306.0030767917633,-1.1749379358572751,-13.24632914494229,114.39126242467084
306.0531060695648,-1.177682131570662,-13.240264396308941,114.30062520510586
306.10307359695435,-1.1815225293306997,-13.231723106277375,114.11935076597592
306.15310645103455,-1.1840857624458,-13.22599325509701,114.08309587815101
306.2030665874481,-1.1879698844528361,-13.217277420010557,113.95620377076112
306.25309348106384,-1.1904493121308692,-13.211704187908914,114.0105861025012
306.3030815124512,-1.1930277328373213,-13.205925678627919,114.08309587815101
306.35309290885925,-1.1967654859453216,-13.197588003848601,114.20998798554089
306.40306997299194,-1.1992522837591864,-13.192073541361495,114.33688009293076
306.4530894756317,-1.2018444888561681,-13.186356739740903,114.44564475641089
306.50309705734253,-1.2058302683702262,-13.17760341784474,114.51815453206069
306.5530917644501,-1.2084944473085713,-13.171752513208881,114.44564475641089
306.60308289527893,-1.2111949398923356,-13.165806902192774,114.4093898685806
306.6530933380127,-1.2152121081200884,-13.156928848998408,114.28249776119071
306.7031123638153,-1.2178219340952934,-13.15113668277157,114.22811542945067
306.7531201839447,-1.2205300193111135,-13.145111179855169,114.173733097716
306.80308532714844,-1.224533670547018,-13.13619926603787,114.20998798554089
306.85310912132263,-1.227190811727061,-13.130289614253952,114.20998798554089
